Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_EMA(C,9)","Exit_EMA(C,9)","Entry_EMA(C,21)","Exit_EMA(C,21)","Entry_ATR(H,L,C,3)","Exit_ATR(H,L,C,3)"
2,459,484,386.62,386.14,333.5921040031025,,-0.9600000000000364,-0.00124152915006992,2006-06-15,2006-07-21,36 days,,385.643016947386,401.18521770093,384.80544698155535,403.97419646798596,10.39425742194645,13.292519686857398
-1,485,521,392.82,395.15,456.572598434287,,-2.329999999999984,-0.0059314698844255,2006-07-24,2006-09-13,51 days,,399.12817416074404,387.30911696611514,402.7856331527145,383.6084761026322,13.088346457904933,9.305364947889032
1,522,536,404.3,404.97,360.04317526055485,,0.6700000000000159,0.001657185258471472,2006-09-14,2006-10-04,20 days,,390.6432935728921,405.387799978574,385.46043282057474,400.2220667137907,7.750243298592683,8.785607075062385
2,523,536,407.48,404.97,357.4531752605549,,-5.019999999999982,-0.006159811524491965,2006-09-15,2006-10-04,19 days,,394.4906348583137,405.387799978574,387.68039347324975,400.2220667137907,7.190162199061786,8.785607075062385
4,526,536,407.1,404.97,357.28317526055486,,-8.519999999999982,-0.005232129697862908,2006-09-20,2006-10-04,14 days,,399.0691250474566,405.387799978574,391.8899274780238,400.2220667137907,12.80856657749978,8.785607075062385
8,527,536,400.3,404.97,350.47317526055485,,37.36000000000013,0.011666250312265758,2006-09-21,2006-10-04,13 days,,400.6253000379653,405.387799978574,393.24993407093075,400.2220667137907,12.355711051666518,8.785607075062385
1,537,588,414.7,482.51,371.77196462468805,,67.81,0.16351579455027743,2006-10-05,2006-12-18,74 days,,406.6722399828592,478.8280484195435,401.2755151943552,481.32188379914703,8.317071383374921,11.459093030757844
2,538,588,410.22,482.51,367.88196462468807,,144.57999999999993,0.17622251474818373,2006-10-06,2006-12-18,73 days,,409.4377919862874,478.8280484195435,403.023195631232,481.32188379914703,9.598047588916623,11.459093030757844
-2,588,592,482.51,457.5,524.228035375312,,50.01999999999998,0.05183312262958284,2006-12-18,2006-12-22,4 days,,478.8280484195435,467.47488063264507,481.32188379914703,474.65458766419437,11.459093030757844,9.528586277680558
-4,589,592,461.72,457.5,506.72803537531195,,16.88000000000011,0.009139738369574713,2006-12-19,2006-12-22,3 days,,476.7884387356348,467.47488063264507,480.16807618104275,474.65458766419437,11.242728687171896,9.528586277680558
-8,590,592,470.0,457.5,512.5580353753119,,100.0,0.02659574468085102,2006-12-20,2006-12-22,2 days,,474.0107509885079,467.47488063264507,478.5982510736752,474.65458766419437,10.55181912478127,9.528586277680558
-1,593,601,456.52,485.45,503.2229313884028,,-28.930000000000007,-0.06337071760273383,2006-12-26,2007-01-09,14 days,,465.48590450611607,476.7795764677448,473.0978069674494,475.0130279418884,7.979057518453723,9.031459948898673
